id,created_at,in_reply_to_id,quote_id,url,content,media_attachments,replies_count,reblogs_count,favourites_count,text_content
113008797496379775,2024-08-23T01:43:23.207Z,,,https://truthsocial.com/@realDonaldTrump/113008797496379775,<p></p>,"[{'id': '113008797385016441', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/008/797/385/016/441/original/f59edd5bf259893b.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/008/797/385/016/441/original/fe6e54b811379411.jpg', 'external_video_id': 'v59op3v', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#040404', 'foreground': '#f8ed62', 'accent': '#faea8c'}, 'original': {'width': 1280, 'height': 720, 'frame_rate': '948250800/39583333', 'duration': 99.057387, 'bitrate': 612424}, 'small': {'width': 480, 'height': 270, 'size': '480x270', 'aspect': 1.7777777777777777}}, 'description': None, 'blurhash': 'UB6R6[oK9cazs.fQazjt0PWV?Dj@M~azoeaz'}]",857,3870,11488,
113008796172112928,2024-08-23T01:43:02.996Z,,,https://truthsocial.com/@realDonaldTrump/113008796172112928,"<p>Thank you to <a href=""https://truthsocial.com/tags/BrianKempGA"" class=""mention hashtag"" rel=""tag"">#<span>BrianKempGA</span></a> for all of your help and support in Georgia, where a win is so important to the success of our Party and, most importantly, our Country. </p><p>I look forward to working with you, your team, and all of my friends in Georgia to help MAKE AMERICA GREAT AGAIN!</p>",[],2162,5142,26531,"Thank you to #BrianKempGA for all of your help and support in Georgia, where a win is so important to the success of our Party and, most importantly, our Country. I look forward to working with you, your team, and all of my friends in Georgia to help MAKE AMERICA GREAT AGAIN!"
113008512171507864,2024-08-23T00:30:49.492Z,,,https://truthsocial.com/@realDonaldTrump/113008512171507864,<p></p>,"[{'id': '113008511667403777', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/008/511/667/403/777/original/f5e5531e2ae4226e.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/008/511/667/403/777/original/da824b9f5126b4bd.jpg', 'external_video_id': 'v59ofml', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#d8d6d2', 'foreground': '#1d181d', 'accent': '#1d181d'}, 'original': {'width': 3840, 'height': 2160, 'frame_rate': '30/1', 'duration': 28.266667, 'bitrate': 25392950}, 'small': {'width': 480, 'height': 270, 'size': '480x270', 'aspect': 1.7777777777777777}}, 'description': None, 'blurhash': 'UaI5Pgx]t7of9H%gayRj~qxuWCRjflR*RjWB'}]",897,4600,16883,
113008498123921164,2024-08-23T00:27:15.141Z,,,https://truthsocial.com/@realDonaldTrump/113008498123921164,<p>THANK YOU ARIZONA—MAGA2024!</p>,"[{'id': '113008497946409328', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/008/497/946/409/328/original/8868d8a04a77048a.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/008/497/946/409/328/original/57f30c44214a1b61.jpg', 'external_video_id': 'v59of3g', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#5b595c', 'foreground': '#c5c8cb', 'accent': '#c5c8cb'}, 'original': {'width': 1280, 'height': 720, 'frame_rate': '30/1', 'duration': 30.1, 'bitrate': 6371527}, 'small': {'width': 480, 'height': 270, 'size': '480x270', 'aspect': 1.7777777777777777}}, 'description': None, 'blurhash': 'UCEMB{?cw@?[-ibDkr9Gys.9kXs,.Sxq$e-;'}]",478,3967,17350,THANK YOU ARIZONA—MAGA2024!
113008455925525034,2024-08-23T00:16:31.249Z,,113006342066945550,https://truthsocial.com/@realDonaldTrump/113008455925525034,"<p><span class=""quote-inline""><br/>RT: https://truthsocial.com/users/realDonaldTrump/statuses/113006342066945550</span></p>","[{'id': '113008455781382817', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/008/455/781/382/817/original/fe24c9ba2320472a.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/008/455/781/382/817/original/9548f130039795f4.jpg', 'external_video_id': 'v59odlx', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#97959a', 'foreground': '#201f1f', 'accent': '#44473b'}, 'original': {'width': 640, 'height': 360, 'frame_rate': '30/1', 'duration': 140.833333, 'bitrate': 797673}, 'small': {'width': 480, 'height': 270, 'size': '480x270', 'aspect': 1.7777777777777777}}, 'description': None, 'blurhash': 'UaF6e6%No#NH%%M|ogRj%2RjRjRjMwWBs:az'}]",406,2804,11961,RT: https://truthsocial.com/users/realDonaldTrump/statuses/113006342066945550
113008454310672959,2024-08-23T00:16:06.604Z,,113006342066945550,https://truthsocial.com/@realDonaldTrump/113008454310672959,"<p><span class=""quote-inline""><br/>RT: https://truthsocial.com/users/realDonaldTrump/statuses/113006342066945550</span></p>","[{'id': '113008454223237951', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/008/454/223/237/951/original/2012ad69fb37761e.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/008/454/223/237/951/original/10e0e9a3257fea7b.jpg', 'external_video_id': 'v59odir', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#a8a095', 'foreground': '#1b181d', 'accent': '#1b181d'}, 'original': {'width': 640, 'height': 360, 'frame_rate': '678800/11319', 'duration': 56.608798, 'bitrate': 639374}, 'small': {'width': 360, 'height': 203, 'size': '360x203', 'aspect': 1.7733990147783252}}, 'description': None, 'blurhash': 'UMGuq2x^o#kD0kXAf,bctT%LRkj]%gWAWBof'}]",308,2030,9549,RT: https://truthsocial.com/users/realDonaldTrump/statuses/113006342066945550
113013195465705760,2024-08-23T20:21:50.888Z,,,https://truthsocial.com/@realDonaldTrump/113013195465705760,"<p>RT <span class=""h-card""><a href=""https://truthsocial.com/@TeamTrump"" class=""u-url mention"">@<span>TeamTrump</span></a></span>PRESIDENT TRUMP: ""I will cut taxes, cut regulations, defeat inflation, rapidly bring prices down, and Make America AFFORDABLE again.""</p><p>""To help Seniors, we will have NO TAX ON SOCIAL SECURITY BENEFITS.""</p>",[],0,0,0,"RT @TeamTrumpPRESIDENT TRUMP: ""I will cut taxes, cut regulations, defeat inflation, rapidly bring prices down, and Make America AFFORDABLE again.""""To help Seniors, we will have NO TAX ON SOCIAL SECURITY BENEFITS."""
113013195421816642,2024-08-23T20:21:50.221Z,,,https://truthsocial.com/@realDonaldTrump/113013195421816642,"<p>RT <span class=""h-card""><a href=""https://truthsocial.com/@TeamTrump"" class=""u-url mention"">@<span>TeamTrump</span></a></span>PRESIDENT TRUMP: ""Under Kamala Harris, it has been one disaster after another — After Kamala cast the tie-breaking votes on the bills that caused the worst inflation in decades, the Harris price hikes have cost the typical Nevada family more than $32,000 dollars.""</p><p>""Now Kamala is promising communist price controls on food. Her plan will cause catastrophic inflation, shortages, and rationing— the restaurant industry will be obliterated.""</p>",[],0,0,0,"RT @TeamTrumpPRESIDENT TRUMP: ""Under Kamala Harris, it has been one disaster after another — After Kamala cast the tie-breaking votes on the bills that caused the worst inflation in decades, the Harris price hikes have cost the typical Nevada family more than $32,000 dollars.""""Now Kamala is promising communist price controls on food. Her plan will cause catastrophic inflation, shortages, and rationing— the restaurant industry will be obliterated."""
113013194934537835,2024-08-23T20:21:42.784Z,,,https://truthsocial.com/@realDonaldTrump/113013194934537835,"<p>RT <span class=""h-card""><a href=""https://truthsocial.com/@TeamTrump"" class=""u-url mention"">@<span>TeamTrump</span></a></span>Under President Trump:</p><p>• Hispanic-American Household incomes hit an all-time high. </p><p>• The Hispanic American unemployment rate hit a record low.</p><p>• The Hispanic American poverty rate reached a record low.</p><p>• More than 1.5 million Hispanic Americans were lifted out of poverty.</p><p>• The household wealth of the median Hispanic family grew 65 percent.</p><p>• The Hispanic-American high school graduation rate reached all-time high, and home ownership among Hispanics also hit a record high.</p>",[],0,0,0,"RT @TeamTrumpUnder President Trump:• Hispanic-American Household incomes hit an all-time high. • The Hispanic American unemployment rate hit a record low.• The Hispanic American poverty rate reached a record low.• More than 1.5 million Hispanic Americans were lifted out of poverty.• The household wealth of the median Hispanic family grew 65 percent.• The Hispanic-American high school graduation rate reached all-time high, and home ownership among Hispanics also hit a record high."
113013192029395548,2024-08-23T20:20:58.460Z,,113012860677987239,https://truthsocial.com/@realDonaldTrump/113013192029395548,"<p><span class=""quote-inline""><br/>RT: https://truthsocial.com/users/realDonaldTrump/statuses/113012860677987239</span></p>","[{'id': '113013191916469430', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/013/191/916/469/430/original/8666886664bd3648.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/013/191/916/469/430/original/547c510b8c0a513a.jpg', 'external_video_id': 'v59s5rv', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#211914', 'foreground': '#b1a59b', 'accent': '#b8954c'}, 'original': {'width': 640, 'height': 360, 'frame_rate': '30/1', 'duration': 35.548299, 'bitrate': 579457}, 'small': {'width': 640, 'height': 360, 'size': '640x360', 'aspect': 1.7777777777777777}}, 'description': None, 'blurhash': 'UFE2OL~8xu9gxt9}xts*M|IrNHR*t3$~xVWF'}]",595,2484,11364,RT: https://truthsocial.com/users/realDonaldTrump/statuses/113012860677987239
113012860677987239,2024-08-23T18:56:42.436Z,,,https://truthsocial.com/@realDonaldTrump/113012860677987239,"<p>Join me live in Las Vegas, Nevada at 3:15PM Eastern! <a href=""https://truthsocial.com/tags/NoTaxOnTips"" class=""mention hashtag"" rel=""tag"">#<span>NoTaxOnTips</span></a> <a href=""https://links.truthsocial.com/link/113007812951870587"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">rumble.com/v5bzy6r-live-presid</span><span class=""invisible"">ent-trump-in-las-vegas-nv.html</span></a></p>",[],707,1999,8663,"Join me live in Las Vegas, Nevada at 3:15PM Eastern! #NoTaxOnTips https://rumble.com/v5bzy6r-live-president-trump-in-las-vegas-nv.html"
113012860288516877,2024-08-23T18:56:36.493Z,,,https://truthsocial.com/@realDonaldTrump/113012860288516877,"<p>RT <span class=""h-card""><a href=""https://truthsocial.com/@RSBN"" class=""u-url mention"">@<span>RSBN</span></a></span>LIVE: RSBN kicks off pre-show for President Trump's ""No Tax on Tips"" event in Las Vegas<br/><a href=""https://www.rsbnetwork.com/video/live-trump-holds-a-no-tax-on-tips-event-in-las-vegas-8-23-24/"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://www.</span><span class=""ellipsis"">rsbnetwork.com/video/live-trum</span><span class=""invisible"">p-holds-a-no-tax-on-tips-event-in-las-vegas-8-23-24/</span></a></p>",[],0,0,0,"RT @RSBNLIVE: RSBN kicks off pre-show for President Trump's ""No Tax on Tips"" event in Las Vegashttps://www.rsbnetwork.com/video/live-trump-holds-a-no-tax-on-tips-event-in-las-vegas-8-23-24/"
113012841930854837,2024-08-23T18:51:56.378Z,,,https://truthsocial.com/@realDonaldTrump/113012841930854837,"<p>RT <span class=""h-card""><a href=""https://truthsocial.com/@realDonaldTrump"" class=""u-url mention"">@<span>realDonaldTrump</span></a></span>NO TAX ON TIPS—MAGA2024!</p>",[],0,0,0,RT @realDonaldTrumpNO TAX ON TIPS—MAGA2024!
113012784378032779,2024-08-23T18:37:18.190Z,,,https://truthsocial.com/@realDonaldTrump/113012784378032779,<p>KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN NORTH CAROLINA…</p>,"[{'id': '113012784305683962', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/784/305/683/962/original/ff1beab5f6e3e722.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/784/305/683/962/small/ff1beab5f6e3e722.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 1013, 'height': 1012, 'size': '1013x1012', 'aspect': 1.0009881422924902}, 'small': {'width': 800, 'height': 799, 'size': '800x799', 'aspect': 1.0012515644555695}}, 'description': None, 'blurhash': 'U8FrnwJVEfMx4T9vb^={m+rWEKXS4T,BX7Jo'}]",680,3605,9218,KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN NORTH CAROLINA…
113012782971312169,2024-08-23T18:36:56.724Z,,,https://truthsocial.com/@realDonaldTrump/113012782971312169,<p>KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN GEORGIA…</p>,"[{'id': '113012782905129963', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/782/905/129/963/original/fc4411ac7a6707fa.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/782/905/129/963/small/fc4411ac7a6707fa.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 1013, 'height': 1012, 'size': '1013x1012', 'aspect': 1.0009881422924902}, 'small': {'width': 800, 'height': 799, 'size': '800x799', 'aspect': 1.0012515644555695}}, 'description': None, 'blurhash': 'U9HeUn%LT|-p4Tpcxa%29G8^Mcf54T?H6*Ef'}]",389,3342,8608,KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN GEORGIA…
113012781878956199,2024-08-23T18:36:40.059Z,,,https://truthsocial.com/@realDonaldTrump/113012781878956199,<p>KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN WISCONSIN…</p>,"[{'id': '113012781815366102', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/781/815/366/102/original/b11a9c1620ae83f0.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/781/815/366/102/small/b11a9c1620ae83f0.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 1013, 'height': 1012, 'size': '1013x1012', 'aspect': 1.0009881422924902}, 'small': {'width': 800, 'height': 799, 'size': '800x799', 'aspect': 1.0012515644555695}}, 'description': None, 'blurhash': 'U5DcK|n255T1L}aiKOWT4oNJOY%1xx.7InIB'}]",255,3154,8267,KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN WISCONSIN…
113012780675015767,2024-08-23T18:36:21.685Z,,,https://truthsocial.com/@realDonaldTrump/113012780675015767,<p>KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN PENNSYLVANIA…</p>,"[{'id': '113012780619784126', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/780/619/784/126/original/b3190d0f5c9a6313.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/780/619/784/126/small/b3190d0f5c9a6313.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 1013, 'height': 1012, 'size': '1013x1012', 'aspect': 1.0009881422924902}, 'small': {'width': 800, 'height': 799, 'size': '800x799', 'aspect': 1.0012515644555695}}, 'description': None, 'blurhash': 'UBEVjDxVE2M}#St4tkR.9Gs;9Zax01M|x^xZ'}]",246,3101,8099,KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN PENNSYLVANIA…
113012778404706199,2024-08-23T18:35:47.045Z,,,https://truthsocial.com/@realDonaldTrump/113012778404706199,<p>KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN MICHIGAN…</p>,"[{'id': '113012778338226490', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/778/338/226/490/original/d30551b8e34e0481.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/778/338/226/490/small/d30551b8e34e0481.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 1013, 'height': 1012, 'size': '1013x1012', 'aspect': 1.0009881422924902}, 'small': {'width': 800, 'height': 799, 'size': '800x799', 'aspect': 1.0012515644555695}}, 'description': None, 'blurhash': 'U9EyGGa09ZS#D%yDpIIA01ROEK%g$MMdtRo}'}]",239,3010,7875,KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN MICHIGAN…
113012777199653318,2024-08-23T18:35:28.655Z,,,https://truthsocial.com/@realDonaldTrump/113012777199653318,<p>KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN ARIZONA…</p>,"[{'id': '113012777131956161', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/777/131/956/161/original/eb0d6a57eaac3755.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/777/131/956/161/small/eb0d6a57eaac3755.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 1013, 'height': 1012, 'size': '1013x1012', 'aspect': 1.0009881422924902}, 'small': {'width': 800, 'height': 799, 'size': '800x799', 'aspect': 1.0012515644555695}}, 'description': None, 'blurhash': 'UAHLMLOa9anN8xo$yDV?0yibNGpI?uabNFRn'}]",245,3017,7793,KAMALA HARRIS' MIGRANT CRIME EPIDEMIC IN ARIZONA…
113012159362330540,2024-08-23T15:58:21.205Z,,,https://truthsocial.com/@realDonaldTrump/113012159362330540,<p>NO TAX ON TIPS—MAGA2024!</p>,"[{'id': '113012159287595486', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/012/159/287/595/486/original/0ccaa2662e7ecadd.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/012/159/287/595/486/original/f446b91f6fe6f0b7.jpg', 'external_video_id': 'v59r6j9', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#070f24', 'foreground': '#5d564a', 'accent': '#244eb7'}, 'original': {'width': 1280, 'height': 720, 'frame_rate': '24000/1001', 'duration': 29.923333, 'bitrate': 783623}, 'small': {'width': 480, 'height': 270, 'size': '480x270', 'aspect': 1.7777777777777777}}, 'description': None, 'blurhash': 'U22?BPwDE9KS%gt9NFS%H[W.sprqMeWXs:nN'}]",1457,4562,14622,NO TAX ON TIPS—MAGA2024!
113012083325505976,2024-08-23T15:39:00.980Z,,,https://truthsocial.com/@realDonaldTrump/113012083325505976,<p>My Administration will be great for women and their reproductive rights.</p>,[],3518,3918,15400,My Administration will be great for women and their reproductive rights.
113011728564486981,2024-08-23T14:08:47.752Z,,,https://truthsocial.com/@realDonaldTrump/113011728564486981,<p></p>,"[{'id': '113011728504753655', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/011/728/504/753/655/original/1b27e45a9974ff0a.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/011/728/504/753/655/small/1b27e45a9974ff0a.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 1221, 'height': 841, 'size': '1221x841', 'aspect': 1.4518430439952437}, 'small': {'width': 964, 'height': 664, 'size': '964x664', 'aspect': 1.4518072289156627}}, 'description': None, 'blurhash': 'UCQv%g00%LE1-;M{D%Rj={D%RjV?9FROaKRi'}]",971,4261,14996,
113011427261365737,2024-08-23T12:52:10.232Z,,,https://truthsocial.com/@realDonaldTrump/113011427261365737,<p></p>,"[{'id': '113011427196462030', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/011/427/196/462/030/original/4d9b80e97592f83e.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/011/427/196/462/030/small/4d9b80e97592f83e.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 1013, 'height': 1013, 'size': '1013x1013', 'aspect': 1.0}, 'small': {'width': 800, 'height': 800, 'size': '800x800', 'aspect': 1.0}}, 'description': None, 'blurhash': 'UOID~?r^D%V[~qaxxaoKAbR%NdoyXQkCRjWX'}]",1855,5965,18520,
113011353553097772,2024-08-23T12:33:25.535Z,,,https://truthsocial.com/@realDonaldTrump/113011353553097772,<p>“𝐏𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐓 𝐓𝐑𝐔𝐌𝐏’𝐒 𝟐𝟎 𝐏𝐑𝐎𝐌𝐈𝐒𝐄𝐒 𝐓𝐎 𝐀𝐌𝐄𝐑𝐈𝐂𝐀”</p>,"[{'id': '113011353148687820', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/011/353/148/687/820/original/d1484e4f88e526ed.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/011/353/148/687/820/original/9bd0c2502c68c992.jpg', 'external_video_id': 'v59qf5m', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#090500', 'foreground': '#e9c18d', 'accent': '#e9c18d'}, 'original': {'width': 1920, 'height': 1080, 'frame_rate': '110070/3671', 'duration': 122.3, 'bitrate': 4267960}, 'small': {'width': 640, 'height': 360, 'size': '640x360', 'aspect': 1.7777777777777777}}, 'description': None, 'blurhash': 'UB70rA$$9_I=}qxY9_Nb-SoLI=WCt5bGR+ja'}]",1572,7164,18896,“𝐏𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐓 𝐓𝐑𝐔𝐌𝐏’𝐒 𝟐𝟎 𝐏𝐑𝐎𝐌𝐈𝐒𝐄𝐒 𝐓𝐎 𝐀𝐌𝐄𝐑𝐈𝐂𝐀”
113011338843720104,2024-08-23T12:29:41.087Z,,,https://truthsocial.com/@realDonaldTrump/113011338843720104,<p>I LOVE THE NEW YORK POST!</p>,"[{'id': '113011338763868157', 'type': 'image', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/011/338/763/868/157/original/5aaa913e5a76d18d.jpg', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/011/338/763/868/157/small/5aaa913e5a76d18d.jpg', 'external_video_id': None, 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'original': {'width': 958, 'height': 1072, 'size': '958x1072', 'aspect': 0.8936567164179104}, 'small': {'width': 756, 'height': 846, 'size': '756x846', 'aspect': 0.8936170212765957}}, 'description': None, 'blurhash': 'UJLgw=~9%KocDOITM{of^,OHMyWC_4Sis;s;'}]",2805,13456,45729,I LOVE THE NEW YORK POST!
113009893061956633,2024-08-23T06:22:00.210Z,,113008999688987506,https://truthsocial.com/@realDonaldTrump/113009893061956633,<p></p>,"[{'id': '113009892924965234', 'type': 'video', 'url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/113/009/892/924/965/234/original/df374d1f2d69cc3f.mp4', 'preview_url': 'https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/thumbnails/113/009/892/924/965/234/original/b14c36f7c4d5995f.jpg', 'external_video_id': 'v59pjcq', 'remote_url': None, 'preview_remote_url': None, 'text_url': None, 'meta': {'colors': {'background': '#191419', 'foreground': '#c8b9c6', 'accent': '#c8b9c6'}, 'original': {'width': 1280, 'height': 720, 'frame_rate': '690000/23041', 'duration': 42.116667, 'bitrate': 2364859}, 'small': {'width': 480, 'height': 270, 'size': '480x270', 'aspect': 1.7777777777777777}}, 'description': None, 'blurhash': 'U78W:W4-~DNH-q55^,E1slIn-pM_%2R*WYM_'}]",3257,3468,14464,
